institucion,puesto,requisitos,departamento,plazas,salario,fecha_limite,url,fecha_extraccion
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 001987: MÉDICO ESPECIALISTA EN CIRUGÍA GENERAL,"Título en la carrera universitaria de Medicina Humana. Título de especialidad en cirugía general.",Cajamarca,1,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-cirugia-general-hospital-docente-cajamarca-599647.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 001986: MÉDICO ESPECIALISTA EN DERMATOLOGÍA,"Título en la carrera universitaria de Medicina Humana. Título de especialidad en dermatología.",Cajamarca,1,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-dermatologia-hospital-docente-cajamarca-599646.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,"CAS N° 001 - CÓD. 002002, CÓD. 001985: MÉDICO ESPECIALISTA EN PEDIATRIA Y/O NEONATOLOGÍA","Título en la carrera universitaria de Medicina Humana. Titulo de especialidad en pediatría y/o neonatología.",Cajamarca,2,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-pediatria-neonatologia-hospital-docente-cajamarca-599645.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 001984: MÉDICO ESPECIALISTA EN PSIQUIATRÍA,"Título en la carrera universitaria de
Medicina Humana. Título de especialidad en psiquiatría",Cajamarca,1,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-psiquiatria-hospital-docente-cajamarca-599644.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,"CAS N° 001 - CÓD. 001983, CÓD. 002001: MÉDICO ESPECIALISTA EN NEUROCIRUGÍA","Título en la carrera universitaria de
Medicina Humana. Título de especialidad en neurocirugía.",Cajamarca,2,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-neurocirugia-hospital-docente-cajamarca-599643.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,"CAS N° 001 -  CÓD. 001982, CÓD. 001994, CÓD. 001995: MÉDICO ESPECIALISTA EN MEDICINA INTENSIVA","Título en la carrera universitaria de
Medicina Humana. Titulo de especialidad en medicina
intensiva.",Cajamarca,3,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-medicina-intensiva-hospital-docente-cajamarca-599642.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,"CAS N° 001 - CÓD. 001981, 001991, 001992, 001993: MÉDICO ESPECIALISTA","Título en la carrera universitaria de
Medicina Humana. Titulo de especialidad en emergencias
y desastres y/o medicina interna y/o
medicina intensiva y/o afines.",Cajamarca,4,7300,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-hospital-docente-cajamarca-599641.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 -  CÓD. 001979: TECNÓLOGO MÉDICO,"Titulado en tecnología médica en
radiología",Cajamarca,1,4000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-tecnologo-medico-hospital-docente-cajamarca-599640.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 001945: MÉDICO ESPECIALISTA EN ONCOLOGÍA CLÍNICA,"Título en la carrera universitaria de
Medicina Humana, Titulo de especialidad en Oncología
Clínica.",Cajamarca,1,9000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-medico-especialista-oncologia-clinica-hospital-docente-cajamarca-599639.html,2026-05-12T23:14:26
HOSPITAL DOCENTE DE CAJAMARCA,CAS N° 001 - CÓD. 000841:  TÉCNICO EN ENFERMERÍA,Titulado Técnico(a) en enfermería,Cajamarca,1,1100,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-cod-tecnico-enfermeria-hospital-docente-cajamarca-599638.html,2026-05-12T23:14:26
